pH;Dureza;Sólidos;Cloraminas;Sulfatos;Conductividad;Carbono_orgánico;Trihalometanos;Turbidez;Potabilidad
4.91;186.19;13652.6;9.32;;460.57;12.16;89.83;3.79;SI
6.38;182.12;33046.73;5.35;362.35;350.24;7.59;66.23;5.4;SI
3.94;163.17;25911.32;4.14;371.97;487.99;17.75;63.61;3.48;SI
6.92;210.86;29263.55;6.01;252.23;392.36;12.89;77.08;4.6;SI
9.15;226.09;6787.48;9.24;319.03;459.57;14.11;80.57;3.21;SI
10.27;225.07;14694.42;6.72;300.76;353.63;13.55;64.01;5.2;SI
8.79;232.46;7035.13;9.31;;415.62;12.05;;3.49;SI
7.37;213.2;18452.02;8.29;294.34;496.27;10.55;94.84;3.81;SI
9.35;207.47;23558.55;6.5;346.52;420.59;10.99;;3.4;SI
9.39;215.05;20592.26;10.09;331.34;447.07;10.78;54.43;4.67;SI
7.3;197.65;22535.09;9.29;323.45;353.06;6.04;82.54;4.68;SI
8.9;211.31;9592.15;8.86;348.44;333.78;18.27;68.33;4.52;SI
8.11;228.17;18364.83;6.19;246.94;369.9;14.61;101.35;4.69;SI
7.8;216.67;14160.69;6.06;281.36;468.21;15.15;62.86;4.08;SI
4.67;171.29;35680.07;4.89;314.61;501.9;14.21;56.91;4.56;SI
10.91;207;16099.15;8.19;369.68;575.31;17.56;80.75;3.72;SI
4.74;162.25;27215.9;2.86;372.82;437.22;15.13;65.09;2.94;SI
9.87;223.77;29549.66;7.72;281.12;356.18;14.2;84.01;4.74;SI
;182.58;19575.48;10.05;424.69;383.49;19.48;76.63;4.33;SI
5.83;191;25863.34;4.82;316.03;370.36;18.36;48.66;3.18;SI
0.99;133.22;16922.85;9.29;444.38;322.29;10.43;43.58;5.16;SI
;235.24;10443.8;7.61;;319.84;8.29;80.54;3.9;SI
9.49;218.74;15357.83;8.53;315.83;429.62;15.62;64.83;3.22;SI
6.44;214.72;9363.85;10;273.46;508.35;12.93;71.43;4.93;SI
6.37;205.06;7040.74;11.3;325.33;371.58;16.35;74.31;5.13;SI
;202.48;23828.21;5.53;409.29;414.62;13.8;59.52;5.27;SI
5.45;199.23;14446.81;7.69;298.32;469.13;14.02;95.31;5.19;SI
;215.97;21852.44;7.46;283.76;364.7;11.38;76.54;5.08;SI
5.43;177.83;31421.73;4.58;347.1;490.28;16.07;58.42;2.87;SI
7.37;217.7;12285.89;10.04;;358.98;16.29;93.78;3.59;SI
;175.71;25954.03;6.23;346.23;379.29;13.64;50.59;2.95;NO
5.23;177.32;28398.55;6.29;336.29;328.39;18.46;62.08;2.26;NO
4.59;185.63;27981.09;6.76;354.79;380.72;13.98;74.58;4.92;NO
6.78;212.44;12827.62;7.4;;328.03;10.86;89.58;5.04;NO
6.4;172.3;15936.25;4.94;340.39;435.41;11.08;58.37;4.56;NO
6.84;166.87;28508.64;7.24;;460.77;11.38;73.47;2.85;NO
6.9;164.72;20442.62;5.16;341.54;468.42;10.36;65.69;4.05;NO
;191.55;22462.11;8.19;;349.95;17.25;76.77;5.26;NO
7.89;228.49;15824.79;8.39;314.84;423.66;17.63;56.42;3.63;NO
5.53;218.52;22095.64;6.44;;412.87;12.64;44.33;4.59;NO
6.49;234.91;18607.21;8.62;302.13;442.1;14.12;65.64;4.38;NO
6.68;193.84;34157.18;9.88;344.54;498.06;8.82;66.66;4.03;NO
;196.33;24108.13;7.84;352.62;428.77;10.29;73.45;5.03;NO
6.22;238.08;22423.5;9.34;;474.67;14.03;80.77;3.92;NO
4.76;203.54;23603.07;7.67;324.08;288.91;18.06;85.92;4.41;NO
7.44;183.36;17259.85;4.61;335.63;453;9.7;80.54;2.5;NO
8.05;200.94;12642.07;7.31;334.44;446.75;14.95;71.2;3.51;NO
7.06;215.95;24991.77;9.14;321.47;431.42;12.95;64.03;4.3;NO
;214.74;12666.01;7.09;302.49;319.42;15.43;92.69;5.01;NO
7.61;222.25;25063.68;8.56;287.95;505.27;18.27;68.4;2.87;NO
4.69;200.89;32182.26;8.57;364.75;516.85;12.4;85.03;2.73;NO
8.06;209.84;8712;8.59;355.44;338.85;18.72;106.24;3.25;NO
4.29;212.81;30434.27;8.63;333.48;382.92;15.78;39.78;2.8;NO
7.87;184.91;16147;7.32;;505.91;11.09;88.05;3.74;NO
9.09;238.22;9001.66;9.82;325.1;381.35;19.2;98.49;2.54;NO
6.59;242.48;9381.24;7.3;312.81;440.6;14.03;70.93;3.06;NO
7.03;168.82;29370.26;5.39;;521.78;21.12;58.88;3.63;NO
8.99;195.81;23728.29;7.51;348.71;551.54;15.25;75.91;4.49;NO
8.56;205.37;16686.31;8.16;;347.84;18.89;68.09;2.81;NO
6.74;156.48;30950.68;6.54;363.18;425.29;11.65;70.37;5.21;NO
;209.43;20827.98;6.59;313.87;567.6;17.95;40.14;4.24;NO
6.49;213.07;34314.09;9.04;335.29;313.25;11.14;70.83;3.38;NO
6.75;191.98;18222.93;3.92;296.2;389.74;9.69;92.22;5.1;NO
5.04;142.86;40829.35;7.27;;386.8;16.82;52.3;4.96;NO
8.3;198.2;17469;8.26;369.59;294.33;18.03;44.06;5.4;NO
5.46;152.39;37620.25;5.78;;343.42;14.4;41.11;4.48;NO
7.92;224.15;20012.17;9.01;302.39;421.89;22.19;72.73;4.76;NO
5.02;194.67;27317.1;6.16;;313.48;10.41;85.69;5.04;NO
6.5;252.01;32775.63;8.48;;330.05;9.85;80.56;3.39;NO
;203.05;28184.9;7.08;344.52;445.7;19.78;53.27;4.46;NO
8.78;218.03;16183.59;7.39;334.05;389.02;16.35;47.1;4.27;NO
;184.75;28499.11;6.55;330.72;381.5;11.04;62.01;3.4;NO
8.16;215.65;17068.3;8.77;319.25;459.54;14.19;60.37;2.96;NO
7.69;230.34;7324.7;7.99;331.51;492.85;14.23;74.07;4.18;NO
7.76;173.64;15548.42;5.02;330.39;520.64;11.15;87.48;3.26;NO
7.21;204.01;18493.87;5.56;311.57;437.51;12.99;31.39;4.71;NO
6.99;169.73;19472.62;5.02;366.02;425.67;17.31;48.88;4.48;NO
4.69;221.55;24211.63;9.36;307.71;406.55;12.62;60;4.01;NO
;219.73;9840.78;8.51;309.84;396.81;12.43;71.63;3.18;NO
4.06;200.38;25770.01;8.34;;414.16;11.08;;4.33;NO
8.39;213.67;17674.71;8.35;;471.37;19.3;70.83;3.57;NO
10.7;220.45;10571.77;6.52;295.98;414.26;14.77;58.74;4.15;NO
6.79;175.89;21467.95;7.1;349.49;427.24;12.56;55.25;2.82;NO
9.95;232.95;3773.28;9.98;;339.88;18.34;82.45;4.05;NO
;218.99;9836.4;7.06;328.72;386.35;15.55;57.33;3.84;NO
4.49;188.25;14906.05;8.49;374.23;518.59;11.23;65.18;3.78;NO
8.02;175.87;21759.36;7.49;352.98;428.66;4.97;72.31;3.44;NO
5.09;174.27;34094.06;6.74;376.66;526.36;17.11;48.55;4.84;NO
6.47;214.34;14848.13;7.05;304.57;304.96;12.18;;3.41;NO
6.7;208.55;29057.23;7.03;302.74;361.95;10.61;53.88;4.27;NO
5.77;179.57;27700.12;6.2;;536.27;12.83;90.01;4.47;NO
6.57;207.74;23372.88;6.28;313.85;497.9;12.87;75.42;4.56;NO
8.51;200.3;10587.3;6.39;307.4;585.22;11.8;63.83;2.52;NO
5.95;186.46;32241.08;8.44;347.71;416.09;14.64;68.91;4.07;NO
5.4;185.64;27509.89;8.26;;587.38;10.02;63.4;3.87;NO
5.6;162.72;23930.37;7.46;;535.34;19.17;54.97;3.51;NO
10.63;198.38;12958.75;7.14;322.62;522.03;16.72;71.78;3.72;NO
4.92;162.46;22829.12;4.02;360.59;541.77;11.58;;3.84;NO
7.18;200.37;13501.68;7.98;358.33;617.54;11.18;71.54;3.81;NO
5.92;167.66;25951.55;6.3;350.38;471.86;15.77;53.32;4.11;NO
7.38;175.01;15340.95;6.14;371.01;579.46;11.92;78.18;4.53;NO
7.83;220.96;28338.98;9.37;316.27;462.14;15.33;57.03;5.58;NO
4.75;186.3;33153.81;8.84;370.17;296.96;14.78;48.45;3.7;NO
9.06;196.48;20226.29;5.84;298.8;342.36;12.81;84.28;5.46;NO
5.49;176.27;26422.1;8.07;366.64;500.94;7.61;59.4;3.29;NO
4.49;199.05;36860.47;9.75;338.05;390.57;8.12;75.67;2.77;NO
7.03;185.32;30988.97;8.6;327.46;326.27;9.98;52.72;5.35;NO
10.2;182.08;8016.2;5.57;337.78;291.6;13.47;50.57;5.17;NO
6.78;140.37;17569.58;4.08;;374.18;10.63;97.09;4.05;NO
8.08;166.89;18136.13;6.87;;600.94;16.31;55.59;4.07;NO
;191.35;14017.37;6.49;345.56;423.98;11.86;65.79;4.17;NO
7.34;182.31;5689.8;6.76;373.87;360.18;20.48;73.49;3.42;NO
5.92;200.56;33306.01;7.43;;399.95;13.8;63.46;3.88;NO
8.29;196.55;19096.82;7.36;342.94;388.94;14.15;73.19;5.44;NO
5.95;160.44;16898.81;6.05;367.33;451.01;16.36;62.37;4.07;NO
;192.2;34160.93;8.96;363.47;474.78;15.91;50.81;3;NO
;216;35971.03;10.03;330.86;558.11;14.34;81.77;2.93;NO
5.3;220.08;39537.09;9.23;322.43;393.39;10.58;58.8;3.92;NO
10.28;198.55;8108.3;5.55;332.02;568.08;15.66;28.77;4.57;NO
7.02;167.36;18015;5.9;362.52;471.48;10.69;45;4.1;NO
6.87;197.52;19557.99;8.31;355.09;379.51;18.24;65.69;4.18;NO
;214.17;8985.91;7.3;;498.8;9.58;37.62;5.5;NO
8.27;195.8;18091.2;7.42;365.41;369.2;17;;2.58;NO
8.24;198.21;11451.31;5.31;309.33;401.06;13.24;81.2;2.78;NO
5.79;190.43;20288.24;6.3;347.04;544.86;17.71;84.39;4.1;NO
6.15;237.14;22052.03;8.09;306.24;485.1;17.08;58.11;4.03;NO
7.3;196.95;22053.01;5.39;305.22;451.61;14.67;71.71;4.14;NO
7.59;177.08;14912.23;6.04;349.24;355.28;17.16;42.12;3.34;NO
6.78;189.61;12736.87;5.94;;480.31;20.61;76.62;4.07;NO
5.61;211.51;32423.46;6.81;;446.39;20.93;52.22;4.07;NO
;223.44;36290.75;9.38;333.45;373.92;16.52;64.7;3.82;NO
4.92;197.29;38494.72;9.14;383.24;357.47;13.13;61.86;2.29;NO
5.7;185.92;27365.11;7.56;;359.51;15.09;56.46;3.98;NO
;215.58;25338.62;5.79;266.11;429.35;11.85;71.17;3.13;NO
10.68;168.7;7066.38;4.87;;327.66;16.3;46.67;4.31;NO
7.6;199.35;11346.14;6.9;304.97;210.32;17.93;62.85;3.7;NO
8.85;188.42;17734.95;6.06;317.15;419.4;17.12;60.25;2.93;NO
6.75;203.4;26325.82;8.37;341.9;381.44;19.53;58.29;3.76;NO
;148.1;13597.9;5.73;374.02;357.71;13.28;72.7;3.62;NO
;202.08;12519.09;7.63;;399.88;12.75;;4.44;NO
5.09;159.96;39125.21;6.06;375.62;400.16;20.19;68.69;2.6;NO
6.95;159.77;21895.29;4.49;337.27;482.6;10.66;78.76;3.17;NO
8.98;204.65;15158.72;8.65;;416.9;14.62;68.9;2.45;NO
9.52;204.08;17258.19;6.15;310.72;395.7;17.06;44.27;3.99;NO
4.7;195.35;35216.53;7.92;335.28;539.46;9.85;64.72;3.48;NO
10.39;200.89;17982.39;5.85;339;336.28;14.32;62.16;4.92;NO
5.75;183.47;35633.27;6.07;327.56;354.17;12.55;70.53;3.81;NO
;192.97;11125.44;4.95;324.76;332.96;15.16;79.26;4.7;NO
;248.95;25253.08;8.92;296.82;482.85;14.14;69.1;3.94;NO
10.81;209.1;11848.23;10.14;349.92;393.19;15.47;66.03;4.42;NO
8.97;228.69;16764.85;7.14;320.56;456.43;12.6;77.33;3.65;NO
;212.45;5699.5;6.65;333.05;269.34;18.08;89.82;2.28;NO
6.85;204.81;20555.56;9.78;387.69;389.64;12.3;49.45;3.13;NO
8.86;200.61;15247.13;6.05;313.13;521.77;13.78;69.87;3.58;NO
4.25;149.94;20497.82;3.27;302.82;427.11;16.09;68.2;3.59;NO
6.73;229.41;23114.03;9.73;321.16;521.84;13.14;68.25;4.72;NO
5.92;186.62;44376.19;6.61;341.64;273.45;12.76;59.46;4.22;NO
6.78;193.65;13677.11;5.17;323.73;477.85;15.06;;3.25;NO
7.39;219.34;25574.09;8.76;;553.06;17.73;60.6;4.33;NO
6.47;176.74;30594.28;4.39;324.66;524.91;16.61;84.3;3.13;NO
6.93;190.19;25780.06;6.26;331.03;481.74;14.05;70.59;3.7;NO
9.3;236.58;5230.63;8.3;;367.9;12.86;18.1;3.68;NO
7.42;220.39;15772.65;9.16;319.91;463.3;16.98;80.27;3.6;NO
6.58;163.36;17977.69;6.54;;383.12;18.09;44.14;3.77;NO
6.2;211.64;35439.69;6.24;314.13;552.46;8.66;56.35;4.11;NO
9.07;203.38;22710.46;5.96;321.59;496.16;18.37;76.42;4.06;NO
4.71;209.34;20070.57;6.59;301.97;354.17;14.02;89.65;3.92;NO
10.58;213.78;11298.45;7.67;300.18;497.17;17.97;83.35;2.97;NO
7.57;227.98;8672.53;7.34;;433.68;11.24;54.87;3.69;NO
6.14;158.42;20129.98;6.81;352.23;373.84;13.42;80.73;4.68;NO
5.28;186.38;42063.87;6.86;319.84;312;18.96;71.4;3.88;NO
6.78;189.44;19663.79;8.39;375.46;420.36;14.83;61.05;3.32;NO
7.24;211.87;13911.83;8.2;345.04;494.42;15.42;32.75;4.53;NO
6.55;190.55;15362.45;6.93;356.32;353.06;14.9;;3.44;NO
8.41;210.8;27662.4;6.63;291.69;555.58;12.34;67.06;2.37;NO
7.99;202.09;20447.49;5.69;;477.67;12.26;43.84;4.81;NO
7.37;185.04;14151.76;5.58;324.57;336.96;15.23;50;3.05;NO
6.06;224.84;25842.58;9.46;;385.39;13.07;85.35;4.37;NO
7.86;204.78;5619.14;5.82;343.55;432.04;14.95;55.96;4.53;NO
5.16;189.3;35086.4;6.74;340.87;331.59;12.91;61.34;4.65;NO
;197.57;17439.44;6.23;;406.01;16.69;68.97;3.46;NO
6.4;230.03;23037.08;10.52;316.07;452.97;13.63;;2.62;NO
7.39;207.96;29917.82;7.82;;392.5;13.17;79.78;4.26;NO
4.44;240.17;24070.26;9.77;338.05;533.97;11.88;69.04;5.04;NO
8.25;175.91;9913.96;4.97;324.43;302.2;11.07;71.44;3.94;NO
4.9;214.64;28278.79;9.92;337.14;375.04;15.5;61.59;3.5;NO
6.86;194.59;23610.52;8.19;346.77;439.23;14.66;89.03;4.32;NO
6.67;190.75;16246.17;6.37;324.34;383.25;7.85;86.44;1.96;NO
7.6;207.12;13486.14;6.19;328.21;452.45;14.81;88.02;3.4;NO
8.16;183.16;20335.68;6.03;333.08;475.3;18.25;49.6;3.29;NO
8.87;193.37;16854.13;5.18;318.35;355.47;19.03;58.81;4.18;NO
8.77;215.37;13969.44;7.55;322.8;369.02;18.92;54.76;3.78;NO
4.74;215.53;30684.21;8.78;;313.51;11.07;62.91;3.85;NO
7.79;196.48;24061.35;6.79;350.12;471.52;15.34;44.54;3.08;NO
;238.41;26493.08;8.67;311.55;369.28;11.76;91.24;3.24;NO
6.09;214.56;11628.34;7.23;;344.07;13.23;98.69;3.67;NO
7.65;200.72;11699.13;6.65;349.26;420.83;18.86;52.91;3.26;NO
4.77;200.37;48002.08;9.17;340.31;310.93;18.77;63.66;3.94;NO
;190.63;26913.37;4.65;302.42;509.28;16.2;64.1;3.45;NO
5.39;198.02;19900.41;7.84;348.95;419.81;14.62;80.57;2.98;NO
5.48;165.44;29046.08;5.52;370.89;488.77;17.27;80.23;6.36;NO
6.36;193.51;22958.01;6.67;;432.19;16.27;64.58;4.76;NO
;226.77;39942.95;8.59;;538.62;13.74;;4.86;NO
8.35;231.2;13533.23;7.62;313.67;527.38;18.66;58.05;4.22;NO
6.62;194.98;20919.05;6.14;;383.12;9.68;41.34;4.64;NO
8.31;203.74;8727.25;7.46;;543.39;15.47;81.51;2.99;NO
6.84;166.74;24293.17;6.86;332.88;390.8;16.01;87.1;3.67;NO
6.39;231.49;26756.92;8.77;;422.07;16.56;73.26;4.68;NO
6.49;205.54;19397.32;7.89;368.56;479.79;15.81;56.98;2.43;NO
;236.36;24873.62;9.41;300.69;479.06;13.52;46.6;5.28;NO
6.65;181.69;30733.5;5.96;343.93;257.7;17.76;35.3;4.83;NO
;210.98;21174.41;7.62;;572.74;15.11;90.25;4.22;NO
9.32;212.71;15751.18;5.5;296.85;399.77;10.62;74.55;3.01;NO
4.58;186.1;33897.07;6.36;316.55;406.38;19.7;62.32;4.5;NO
7.88;229.24;21733.83;7.9;315.19;368.77;11.64;49.8;4.63;NO
6.17;238.3;24827.52;7.72;269.49;482.67;22.09;79.17;4.44;NO
7.23;177.57;17864.69;5.82;343.59;367.69;19.91;59.3;5.62;NO
;235;3900.91;6.94;286.77;553.49;19.42;84.85;4.07;NO
8.69;184.77;13283.78;6.52;348.55;560.97;13.98;71.73;2.9;NO
;194.81;32981.24;9.55;;286.79;10.42;71.91;3.23;NO
4.8;190.32;21280.25;6.19;326.79;357.44;11.71;63.86;4.04;NO
9.32;199.33;14294.24;7.78;366.05;338.44;15.22;63.39;4.13;NO
7.58;180.75;11989.25;4.98;328.18;617.88;13.56;39.22;4.46;NO
5.35;232.67;11797.92;7.82;312.99;371.91;11.98;65.8;3.31;NO
5.49;179.21;20162.02;5.21;305.26;510.61;12.59;58.86;4.22;NO
;206.58;40710.52;8.81;320.45;468.05;14.52;71.45;5.49;NO
8.32;221.27;16123.3;9.48;348.18;501.67;22.16;75.36;2.76;NO
8.55;216.42;28909.29;6.94;295.22;510.9;16.2;79.86;4.05;NO
6.01;218.84;21573.75;9.3;321.17;444.28;14.74;62.44;3.46;NO
5.74;173.85;28392;7.02;355.46;336.06;16.9;65.45;3.17;NO
5.22;164.79;27007.89;6.59;;422.22;14.07;73.92;4.38;NO
;240.43;25959.61;10.57;;446.74;13.57;80.27;3.36;NO
7.46;207.79;10513.3;8.92;;442.37;18.73;43.9;2.94;NO
11.03;228.32;13124.11;7.52;319.35;376.23;8.03;48.53;4.18;NO
6.73;242.16;17975.55;9.81;322.24;440.86;13.57;62.18;4;NO
4.15;174.93;41489.64;5.57;;425.25;12.53;86.68;3.5;NO
7.16;171.82;28954.8;5.82;357.33;530.53;18.12;79.09;3.25;NO
;235.42;13927;8.55;;446.42;14.13;51.71;3.66;NO
6.21;169.32;22610.77;4.88;327.38;549.28;17.02;51.51;3.89;NO
;178.78;10490.84;7.53;354.06;367.76;14.67;57.4;4.13;NO
9.61;231.34;4544.84;6.58;300.92;328.9;11.79;78.57;3.04;NO
5.38;153.71;56867.86;7.89;;493.89;15.12;57.71;4.17;NO
8.7;166.45;27752;5.35;372.26;393.56;13.75;75.02;4.18;NO
7.75;198.84;18939.94;7.38;316.82;368.4;9.98;65.25;3.14;NO
7.12;216.12;20067.57;9.61;349.08;331.97;17.54;84.03;4.21;NO
8.31;212.7;40936.15;7.7;301.25;365.43;12.97;70.49;4.78;NO
5.52;157.14;26220.17;6.34;379.79;475.34;16.9;51.11;4.03;NO
10.2;190.8;8918.89;4.9;306.5;331.38;18.53;68.55;3.96;NO
5.37;190.94;32619.31;8.1;351.36;435.67;11.98;107.9;2;NO
8.94;147.92;10562.46;3.69;371.18;480.32;16.98;61.16;2.83;NO
8.12;207.51;26489.11;8.54;318.06;431.63;10.08;63.98;4.72;NO
7.18;201.08;25234.43;5.22;283.74;384.01;12.43;23.14;3.67;NO
5.5;230.31;13902.97;9.62;352.08;442.17;14.74;;5.85;NO
;256.67;8904.8;9.71;293.11;325;16.85;72.69;3.37;NO
5.32;204.2;22390.8;8.05;315.03;399.12;13.97;83.16;2.93;NO
6.37;235.34;34456.8;9.17;295.35;357.42;9.21;59.28;2.28;NO
6.73;197.56;27430.44;6.04;303.94;397.68;19.39;54.51;3.18;NO
6.88;210.5;14298.41;7.24;316.75;570.42;15.96;70.62;4.1;NO
8.01;225.16;20375.67;7.84;308.59;382.01;12.67;78.77;4.44;NO
8.27;204.23;24196.52;8.45;332.89;500.68;15.16;71.02;5.14;NO
8.75;148.39;22174.78;5.46;369.37;407.38;15.89;72.16;4.76;NO
8.15;202.32;25620.77;7.65;367.22;597.87;11.8;72.38;3.7;NO
9.05;222.18;22829.11;7.61;293.06;558.75;15.36;44.56;4.21;NO
8.92;207.52;13291.92;8.56;357.94;468.54;15.69;107.28;4.08;NO
5.96;182.11;23926.08;6.19;364.98;567.53;7.79;58.17;4.92;NO
;205.44;20113.9;7.25;317.28;558.95;23.95;68.24;3.65;NO
8.18;166.64;17944.85;4.04;331.95;363.24;12.54;56.31;4.6;NO
7.64;238.94;18136.26;11.09;351.56;514.96;8.64;55.6;3.33;NO
7.78;193.08;15704.48;7.88;324.34;301.75;13.38;89.05;3.31;NO
7.62;196.61;27080.27;7.38;345.18;329.02;8.55;60.14;2.39;NO
6.66;218.77;16477.35;7.33;299.85;412.31;17.19;41.04;4.5;NO
;182.16;30646.82;6.33;294.97;404.12;14.71;106.37;3.86;NO
8.82;208.33;26780.69;7.22;329.12;430.41;7.15;88.41;2.88;NO
7.77;173.19;13736.34;6.98;359.81;356;11.52;39.55;3.21;NO
6.23;169.74;29533.61;5.57;;380.11;17.6;75.52;2.77;NO
;223.72;15893.67;8.29;303.85;360.47;15.23;48.2;4.16;NO
8.57;160.22;23683.11;4.29;360.29;490.51;9.03;67.48;2.8;NO
6.99;216.67;23027.39;9.8;382.15;369.47;18.97;59.65;4.4;NO
3.34;156.48;55334.7;8.53;371.15;485.63;16.98;69.62;2.58;NO
;198.65;20063.49;9.54;344.62;412.98;9.77;43.14;4.57;NO
;192.25;21762.61;7.26;331.65;397.26;18.26;45.98;4.34;SI
7.77;216.75;22316.4;7.95;385.04;288.07;14.14;68.86;3.89;SI
;172.73;28894.48;4.25;244.29;559.63;21.34;51.27;2.96;SI
7.2;168.45;22826.48;6.28;271.89;437.37;16.41;64.51;6.39;SI
6.15;240.89;6342.5;9.61;421.34;354.39;12.34;83.24;3.55;SI
;225.96;9660.66;8.83;397.92;315.75;16.72;17;3.96;SI
6.77;203.75;21162.73;5.23;251.06;334.91;13.21;79.86;3.3;SI
8.04;148.42;48410.47;4.76;268.21;392.9;12.47;;2.51;SI
8.18;210.45;18626.15;7.27;;455.93;14.25;85.93;3.33;SI
6.74;204.08;20215.7;6.13;304.53;544.34;12.01;72.61;4.87;SI
7.6;214.68;11459.62;11;398.92;321.07;12.01;58.1;3.58;SI
8.55;177.85;23349.49;7.65;352.82;413.32;12.36;108.85;3.51;SI
5.43;231.35;14970.65;9.18;409.99;448.86;10.84;65.55;3.87;SI
7.71;194.74;27336.96;7.63;322.07;347.83;10.64;63.72;3.18;SI
8.15;168.1;21361.2;6.2;;419.17;12.3;59.89;2.46;SI
;190.22;23094.87;6.48;298.36;414.89;13.46;50.9;2.98;SI
7.85;193.78;13769.86;9.01;343.62;510.31;13.77;99.18;3.67;SI
7.16;197.99;27025.21;6.73;359.71;448.46;12.51;49.3;2.96;SI
5.69;240.71;7998.67;8.12;;477.05;15.46;68.9;3.87;SI
6.71;199.29;17435.34;6.81;;454.73;14.59;81.38;3.82;SI
4.78;232;13978.17;9.42;389.22;526.07;17.21;73.94;3.22;SI
;200.32;19947.43;7.38;337.23;295.76;14.03;29.67;4.39;SI
;205.13;17537.99;8.03;396.09;318.54;13.86;93.71;3;SI
8.5;193.91;21289.18;7.11;;393.18;13.64;61.13;5.61;SI
7.74;218.24;22824.7;8.7;363.99;521.02;15.31;73.72;3.74;SI
4.19;208.37;21809.71;5.85;327.47;264.51;11.24;46.68;4.59;SI
;142.15;45141.69;6.03;240.2;369.28;20.61;70.17;4.6;SI
7.81;179.8;17037.73;6.38;348.07;590.06;12.09;81.59;4.17;SI
5.9;187.15;37118.26;4.6;253.16;531.17;11.41;77.29;3.66;SI
7.27;155.16;31161.37;3.18;244.8;506.01;17.39;73.12;3.79;SI
;213.04;12036.64;9.79;349.17;284.02;12.42;74.67;3.9;SI
9.49;167.89;40032.41;8.35;;354.79;14.17;102.57;4.3;SI
7.46;183.46;14733.46;7.48;335.67;482.64;8.96;82.58;4.5;SI
7.99;230.18;17076.66;9.6;;522.89;14.45;68.64;4.34;SI
7.75;212.27;21670.59;8.46;361.38;457.01;21.43;43.19;3.68;SI
8.28;163.36;22013.96;5.74;307.67;351.63;20.06;78.5;4.72;SI
6.88;163.59;44586.81;2.74;219.15;554.05;16.52;67.53;5.69;SI
6.8;239.06;7986.49;10.37;419.88;373.23;18.83;43.44;3.82;SI
8.17;144.9;36185.68;4.55;297.96;605.46;20.22;;3.41;SI
;214.66;19692.46;5.95;326.18;385.83;15.56;77.83;3.26;SI
4.74;203.28;28698.73;5.27;323.68;508.82;14.06;65.16;5;SI
5.95;226.94;11930.62;9.68;;350.97;13.61;70.57;3.97;SI
6.58;198.41;22389.38;7.32;369.1;408.2;6.06;105.4;3.69;SI
8.78;157.35;22113.39;7.93;304.81;480.72;15.69;82.93;4.39;SI
6.85;167.99;40588.43;3.37;265.43;300.41;16.01;72.36;3.08;SI
8.76;185.42;31040.88;8.54;;408.1;18.24;72.3;3.81;SI
;213;21687.47;6.9;;383.75;11.79;57.35;3.24;SI
;178.15;34383.6;6.43;311.53;570.38;17.59;68.99;4.01;SI
8.07;191.82;17106.44;7.9;333.48;432.9;13.34;54.22;4.85;SI
5.08;185.09;18125.64;4.11;275.06;528.16;11.33;80.34;3.63;SI
7.44;203.07;25489.08;8.18;413.56;405.42;13.28;74.41;2.57;SI
9.43;158.39;20474.82;5.86;285.4;476.84;14.39;73.16;4.2;SI
5.91;223.14;13464.49;9.13;378.11;337.86;13.53;42.84;2.92;SI
5.8;193.2;19451.77;4.15;255.98;365.48;14.92;8.58;2.18;SI
7.62;182.69;33744.17;6.23;369.55;327.23;14.07;82.78;3.42;SI
9.01;148.61;35021.77;5.59;;387.4;11.86;49.48;3.91;SI
5.42;205.27;18542.96;5.49;306.7;382.08;10.5;67.49;2.91;SI
9.78;155.94;23335.67;7.67;;356.54;10.82;75.33;4.14;SI
5.2;232.88;17818.39;7.3;;404;12.87;55.5;3.44;SI
4.87;224.71;16960.43;7.08;323.04;354.39;15.69;79.96;3.92;SI
7.79;164.96;25506.91;7.87;358.26;398.46;15.3;;4.22;SI
;259.14;2808.03;10.09;392.83;354.41;13.9;63.86;4.08;SI
7.06;187.95;26608.93;8.56;405.4;462.31;18.43;41.29;3.61;SI
7.89;180.16;32160.53;7.77;360.28;344.55;11.25;60.29;3.21;SI
7.54;221.79;14829.75;6.7;366.41;583.44;17.73;59.69;4.21;SI
7.2;207.83;11889.25;8.02;;369.04;10.37;62.04;5.7;SI
;188.61;27716.34;5.61;275.18;520.59;12.81;;4.4;SI
8.72;151.62;28301.52;3.65;248.09;468.37;15.15;79.54;3.27;SI
8.35;134.75;33662.39;4.44;;397.11;14.42;55.59;3.94;SI
6.28;222.69;18526.26;8.98;395.26;517.15;15.87;55.38;5.03;SI
;195.55;28415.18;7.49;318.52;494.4;15.02;47.14;4.05;SI
9.31;163.93;39498.66;6.91;325.87;345.66;12.71;62.47;4.49;SI
4.92;208.41;15990.15;5.65;349.66;404.41;11.4;84.53;3.33;SI
6.14;147.47;34865.32;3.68;285.46;475.45;20.94;54.2;5.37;SI
5.74;208.07;19457.64;6.69;;362.06;15.6;82.32;3.53;SI
6.62;201.78;17063.17;8.35;360.61;491.72;10.35;60.01;3.88;SI
7.62;170.43;36267.27;6.04;301.22;404.5;12.5;79.95;4.76;SI
7.86;182.04;34591.68;6.19;287.22;285.23;14.37;74.89;3.5;SI
7.39;205.99;13215.71;7.74;;537.14;16.05;79.36;4.43;SI
;176.78;24793.46;6.39;312.36;377.07;10.07;50.12;4.64;SI
